Título 1,Título 2,Data,Local,Conteúdo
Atlético-MG toma medida drástica após expulsão de Hulk e acusa partida contra Palmeiras: ‘Suspeita’,Jogo contra o Palmeiras foi marcado pela polêmica expulsão de Hulk,2024-06-18 20:27:00,Belo Horizonte (MG),"- Quando John Textor fez as denúncias que todos conhecemos, a maioria desacreditou, mas eu não. O que estamos vendo só corrobora com a fala de Textor. O Galo resolveu contratar a mesma empresa de inteligência artificial que assessora o Botafogo.
Além disso, o clube mineiro afirmou que não aceitará mais que o árbitro Rodrigo José Pereira de Lima atue em jogos do Galo. Sérgio Coelho foi duro em suas palavras e também detonou a comissão de arbitragem da CBF.
- Uma arbitragem tendenciosa, ridícula e preocupante. Esse árbitro foi punido em maio deste ano, entrou em reciclagem, e voltou a ser escalado no jogo mais importante da rodada. Isso é uma demonstração clara da comissão de arbitragem. É a pior gestão da comissão de arbitragem dos últimos tempos do futebol brasileiro, na minha opinião. O Galo não vai aceitar mais que esse cidadão apite seus jogos. A arbitragem de ontem teve todos os elementos de uma arbitragem incompetente e suspeita.
A empresa francesa ficou conhecida após John Textor ter contratado seus serviços para verificar supostos erros no Brasileirão 2023. No entanto, a atuação com inteligência artificial é alvo de polêmicas nas redes sociais.
"
Dono da SAF do Atlético-MG detona expulsão de Hulk e reclama de clubes adversários,Empresário pediu união entre as equipes contra erros no Brasileirão,2024-06-18 15:11:00,Belo Horizonte (MG),"- O Atlético tomará todas as medidas cabíveis, mas sinto que enquanto todos os clubes não conseguirem enxergar além dos resultados momentâneos para se unir e cobrar a profissionalização da arbitragem no Brasil, o problema continua longe de ser resolvido. Fica a pergunta: desde quando isso é motivo de expulsão? E onde está o desrespeito em questionar o motivo de um cartão amarelo após uma falta que o próprio jogador sofreu? Além de jogarmos quase toda a partida com um a menos, é inegável o impacto que uma injustiça dessas proporções tem na equipe.
O Palmeiras já estava vencendo o confronto por 1 a 0 no momento em que Hulk foi expulso. No fim, o Verdão aplicou uma goleada por 4 a 0, e o Galo ainda sofreu com a expulsão de Paulinho, que não enfrenta o Vitória.
"
"Danilo, da Seleção Brasileira, prioriza Flamengo e Santos em possível volta ao Brasil",Lateral-direito tem contrato com a Juventus até o meio de 2025 e pode retornar ao futebol brasileiro,2024-06-19 11:09:00,Rio de Janeiro (RJ),"– A minha família é toda flamenguista, é uma loucura. Toda vez que tem jogo do Flamengo, Libertadores, todas essas coisas, o pessoal para, vai fazer churrasco para ver o jogo do Flamengo. Eu tenho uma cunhada que ela chora. Falou do Flamengo, ela chora mesmo, se emociona – disse Danilo.
– Nesse momento, como você falou, eu tenho contato com a Juventus garantido até 2025, podendo ter mais um ano de extensão. E muito mais de eu falar que eu estou muito feliz na Juventus, que eu me sinto realizado, tem a ver com aquilo que é o meu papel lá também. Porque, acho que vocês sabem bem, aquilo que é o capitão no futebol europeu e principalmente na Itália, que é tão bairrista. É um papel muito mais do que… É quase um trabalho, sabe? São muitas funções, muitas coisas que você desenvolve e trabalha no dia a dia, que não é fácil você deixar para trás de uma hora pra outra, né? – continuou o lateral-direito.
– Estou planejando ainda aquilo que vão ser meus próximos anos como jogador de futebol. Não quero jogar até muito tarde, sempre falei isso. Dois ou três anos é o máximo que eu quero jogar. Mas, se em algum momento eu falar ""quero voltar para o Brasil"", tem duas prioridades: Flamengo e Santos – finalizou o Danilo, deixando claro sua vontade.
"
Números de Maurício: veja a fase atual do reforço do Palmeiras,Meio-campista joga bastante pelo Internacional desde 2021,2024-06-19 16:27:00,Rio de Janeiro,"Natural de São Paulo, Maurício iniciou sua carreira nas categorias de base do Desportivo Brasil. Em 2018, foi transferido para o Cruzeiro, onde viveu altos e baixos. Apesar de alguns momentos de brilho individual, o clube enfrentava graves problemas financeiros, o que dificultou o desenvolvimento do jogador.
Ele participou (pouco) do rebaixamento do clube mineiro em 2019, além de ter feito 17 partidas na Série B 2020. No meio daquele ano, foi para o Internacional. Com atuações consistentes e um bom poder de finalização, Maurício se tornou um dos principais jogadores da equipe gaúcha.
Na atual temporada, Maurício disputou 17 partidas pelo Internacional, sendo 15 como titular, com 2 gols marcados e 3 assistências. Ele participou da Seleção que fracassou no Pré-Olímpico deste ano. Jogou seis dos sete jogos do Brasil no torneio, tendo sido titular em cinco.
Canhoto, a posição preferencial de Maurício é aberto pelo lado direito, semelhante à posição de Estêvão no Palmeiras atual de Abel Ferreira. Porém, o possível reforço tem um estilo de jogo mais cadenciado, preferindo armar o jogo pelo centro a procurar a linha de fundo como o jovem talento palmeirense.
Serão desembolsados cerca de 10,5 milhões de euros (R$ 60,2 milhões) pelo Palmeiras, entre metas e variáveis, por 80% do ""passe"" de Mauricio. Porém, nem todo valor irá para os cofres do Inter, que divide os direitos econômicos com Desportivo Brasil, Cruzeiro e o próprio jogador.
"
"Carille fala sobre pressão no Santos, avalia erros e diz: ‘Chegar à final do Paulistão não foi bom’","Após quatro derrotas consecutivas na Série B, Peixe vence e respira na tabela
",2024-06-19 22:38:00,São Paulo (SP),"– Me sinto confortável aqui, mas sei que se eu perdesse hoje a pressão seria grande e, dali a pouco, o presidente teria que tomar uma decisão. Vim confortável para o jogo, a diretoria vê o que a gente passa ao time e faz. Mas, futebol é resultado. Talvez, um empate faz com que a pressão aumente e eu vou embora. É o futebol. Tenho 50 anos e sei que é assim mesmo, é a verdade do futebol. É continuar trabalhando, deixando tudo claro aos atletas e entregando dentro de campo - disse Carille.
Segundo Carille, o vice-campeonato do Paulistão não fez bem ao time, já que o deixou acomodado.
– Eu deveria ter insistido e brigado. Tenho experiência com auxiliar na Série B. Hoje, analisando, chegar na final do Paulistão não foi bom. Isso me acomodou, trouxe assuntos, conversei, persisti e não insisti. Prefiro ter 40 jogadores e eu administrar o grupo do que fazer isso - completou o técnico.
"
Veja o time ideal da 6ª rodada da Copa Sul-Americana,Athletico conta com dois representantes na seleção ,2024-06-01 07:00:00,São Paulo (SP),"Apesar dos triunfos, as equipes não contam com representantes no time ideal da rodada, que é formado maioritariamente por atletas estrangeiros.
Além da dupla, Athletico, Cuiabá, Fortaleza e RB Bragantino conquistaram a classificação para a próxima fase do torneio. O Internacional, que teve duas partidas adiadas em razão das enchentes que atingiram o estado do Rio Grande do Sul, ainda busca a classificação.
CONFIRA A SELEÇÃO IDEAL DA 6ª RODADA DA SUL-AMERICANA 
Goleiro: Luis Corredor (Rayo Zuliano) - Nota: 8.8 Lateral-direito: Marcelo Saracchi (Boca Juniors) - Nota: 8.4 Zagueiro: Thiago Heleno (Athletico) - Nota: 8.3 Zagueiro: José Ortíz (Independiente Medellín) - Nota: 8.1Lateral-esquerdo: Bruno Pacheco (Fortaleza) - Nota: 8.2 Meia: Mariano Maño (Delfin) - Nota: 8.5 Meia: Miguel Monsalve (Independiente Medellín) - Nota: 8.5Meia: Kevín Zenon (Boca Juniors) - Nota: 9.6 (maior nota)Atacante: Damián Batallini (Argentinos Juniors) - Nota: 8.5 Atacante: Chavarría (Belgrano) - Nota: 8.5Atacante: Tomás Cuello (Athletico) - Nota: 8.7 
* Os números foram retirados do site SofaScore
"
Torcedores do Fluminense detonam VAR após pênalti para o Cruzeiro: ‘Caso de polícia’,Lance gerou muita polêmica e reclamação nas redes sociais,2024-06-19 22:22:00,Belo Horizonte (MG),"Nas redes sociais, os torcedores do Tricolor reclamaram da arbitragem e do VAR por conta do lance envolvendo o zagueiro Thiago Santos. A arbitragem viu um toque de mão do jogador ao impedir um cruzamento.
Confira as reações na web:
"
"Vitória x Internacional: onde assistir ao vivo, horário e escalações do jogo pelo Brasileirão",Confira as principais informações do duelo válido pela nona rodada do Campeonato Brasileiro ,2024-06-16 07:00:00,Salvador (BA),"Confira todas as informações que você precisa saber sobre o confronto entre Vitória e Internacional (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICAVITÓRIA X INTERNACIONALBRASILEIRÃO - 9ª RODADA
🗓️ Data e horário: domingo, 16 de junho de 2024, às 16h (de Brasília)📍 Local: Barradão, em Salvador (BA)📺 Onde assistir: Globo e Premiere🟨 Árbitro: Bruno Arleu de Araújo🚩 Assistentes: Thiago Henrique Neto Correa Farinha e Thiago Rosa de Oliveira 🖥️ VAR: Carlos Eduardo Nunes Braga
⚽ PROVÁVEIS ESCALAÇÕES
VITÓRIA (Técnico: Thiago Carpini)Lucas Arcanjo; Zeca, Camutanga, Wagner Leonardo e Lucas Esteves (PK); Willian Oliveira, Léo Naldi, Dudu (Luan Santos) e Matheusinho; Osvaldo e Alerrandro
INTERNACIONAL (Técnico: Eduardo Coudet)Fabricio; Bustos, Vitão, Mercado e Renê; Fernando, Aránguiz, Bruno Henrique e Hyoran; Wesley e Lucca (Lucas Alario).
"
Aníbal Moreno fala sobre arrancada do Palmeiras no Brasileirão; veja provável escalação,"Palmeiras e RB Bragantino se enfrentam nesta quinta-feira (20), às 21h30, no Allianz Parque",2024-06-20 08:03:00,São Paulo (SP),"- A gente sabe que será um jogo muito difícil, o Bragantino joga bem e tem jogadores de muita qualidade. Mas a gente está focado para fazer um grande jogo e somar os três pontos. Ganhar é bom, ainda mais uma sequência de três vitórias, é seguir fazendo o nosso trabalho para seguirmos em um bom momento - disse Aníbal Moreno.
 Para a partida contra o Massa Bruta, o Verdão tem alguns desfalques. Bruno Rodrigues, Rômulo e Lázaro estão lesionados, enquanto Gustavo Gómez, Richard Ríos e Endrick estão na disputa da Copa América.
Com este cenário, a provável escalação do Palmeiras para o jogo contra o Bragantino tem: Weverton; Marcos Rocha, Naves, Murilo e Piquerez; Aníbal Moreno, Zé Rafael e Raphael Veiga; Estêvão, Flaco López e Rony.
Os dois times já se enfrentaram em 55 oportunidades, e o Verdão leva vantagem no número de vitórias em relação ao Massa Bruta de forma disparada: foram 31, contra 12 e outros 12 empates até aqui. Só em duelos válidos pelo Brasileirão foram 15 e, nesta competição, os números são empatados: seis vitórias para cada lado e três empates. No último encontro entre as equipes, válido pelo Paulistão deste ano, vitória palmeirense por 1 a 0, no Nabi Abi Chedid, com direito a gol de Flaco López.
"
Torcedores do Corinthians detonam António Oliveira: ‘Limitado’,Timão está na zona de rebaixamento do Brasileirão,2024-06-20 00:01:00,São Paulo (SP),"Além das reclamações em relação a Gustavo Henrique, António Oliveira também foi apontado como culpado pela situação do Timão. Muitos fãs pediram a demissão do técnico português.
Confira as reações na web:
"
